Kod_powiat,Wskaznik zanieczyszczenie powietrza,Liczba pojazdów samochodowych,udział powierzchni gminnych terenów zieleni w powierzchni danej jednostki terytorialnej,Powierzchnia gruntów leśnych,Powierzchnia powiatu w hektarach,Ludnośc na 1km2,Srednie wynagrodzenie,Drogi o nawierzchni twardej w km
2605,53.625,67951,0.0,17100.51,113968,65,6106.87,363.9
0408,53.66666667,71637,0.1,7258.66,101673,62,5658.46,545.1
1820,53.75,47344,0.0,3224.43,52106,98,6404.66,314.1
3023,53.75,67620,0.1,2591.67,83799,69,6063.01,543.4
0418,53.76923077,97757,0.0,3629.80,147196,56,5925.34,1414.4
1815,54,66371,0.0,7152.80,54830,135,6169.80,391.6
1862,54,65032,1.1,178.64,4617,1230,6251.54,98.5
1811,54.2,113826,0.1,6237.21,88050,151,6434.27,611.3
1217,54.2,56136,0.1,9210.68,47163,141,6396.51,476.6
1418,54.5,175043,0.2,3824.27,62099,342,7302.29,824.3
0210,54.57142857,51022,0.1,562.11,42834,121,6215.31,272.0
1611,54.57142857,63000,0.2,1392.02,74424,96,6878.52,367.1
3011,54.6,82582,0.1,1308.44,72240,107,6677.52,260.3
1004,54.75,64749,0.1,1554.66,77277,61,6905.17,585.9
1011,54.83333333,50472,0.1,5320.71,88084,45,8302.47,382.2
0462,55,59682,3.7,918.97,5776,1549,6034.07,94.9
1214,55,56051,0.0,222.05,41489,102,6178.05,717.0
1461,55,39101,1.9,490.60,3346,1456,7571.74,85.5
2061,55,204814,1.9,429.35,10213,2865,7089.31,285.8
2264,55,35374,2.3,203.34,2776,1163,8478.32,30.2
2862,55,139663,1.8,1528.96,8832,1905,7386.70,223.4
3262,55,309468,0.9,2646.44,30062,1303,7933.31,431.9
1208,55.14285714,58117,0.0,1099.03,67633,69,6131.46,711.4
2602,55.22222222,81775,0.1,9324.41,125680,65,6607.59,520.4
1608,55.28571429,67453,0.0,4469.47,97339,63,6255.53,413.6
1002,55.36363636,104375,0.1,728.42,88686,103,6598.59,864.0
1017,55.4,84865,0.0,9970.35,92624,79,6238.07,582.4
1803,55.42857143,124813,0.0,8345.09,77704,171,6182.14,748.1
1211,55.5,145464,0.0,39014.33,147507,129,5858.04,1384.4
1428,55.5,104056,0.0,3200.05,73481,113,7733.67,579.1
1810,55.57142857,70017,0.0,2731.07,45184,179,5930.62,282.2
2613,55.66666667,44197,0.0,15510.65,90638,48,6814.57,332.3
0265,56,50648,1.4,531.14,8468,1203,7584.09,135.3
1009,56,54950,0.0,10160.01,80418,61,6143.74,398.1
1816,56.14285714,154974,0.1,9178.56,114474,153,6505.42,865.4
3010,56.14285714,148483,0.0,6553.93,157821,82,5665.09,1385.0
1007,56.375,70515,0.0,12825.20,104016,70,6391.34,513.5
3006,56.75,71712,0.1,988.50,58848,119,6018.31,417.4
3009,56.90909091,92277,0.1,3226.52,101069,81,6552.92,741.0
0463,57,154732,1.5,817.15,11572,1691,7308.74,285.3
0662,57,51500,1.3,8.35,3997,1450,6349.53,66.4
0861,57,112380,2.8,30.49,8573,1358,6713.76,112.6
2611,57,82569,0.1,1087.85,52341,161,6426.80,276.9
3017,57,159625,0.1,2375.67,116007,137,6197.61,744.6
2406,57.11111111,96055,0.0,5512.86,88860,93,6030.62,575.8
1010,57.27272727,94015,0.0,11700.72,142832,63,5846.87,805.5
1014,57.27272727,136796,0.1,12772.46,149088,75,6435.58,551.3
1005,57.5,87328,0.0,4927.80,98813,76,6192.74,561.4
1013,57.66666667,62349,0.1,4188.32,64629,72,6172.78,321.1
2403,57.66666667,151971,0.2,7667.24,73027,240,6529.01,1186.1
2413,57.77777778,111259,0.7,1034.86,64420,216,7145.99,429.2
1438,57.8,86358,0.1,3272.78,53254,142,7232.39,432.0
1412,57.84615385,143577,0.1,15907.67,116360,137,6445.47,947.2
1001,57.875,105184,0.1,13576.58,96761,113,9268.84,584.0
0664,58,44987,5.1,50.89,3033,1943,6679.65,65.5
1020,58,151576,0.1,4184.33,85519,195,6749.27,662.4
1861,58,36578,0.5,21.52,4471,991,6135.13,88.1
1417,58.125,119764,0.0,10458.49,61592,206,7241.67,464.0
1006,58.16666667,78544,0.1,1960.90,49981,149,6313.01,443.9
1405,58.33333333,154786,0.2,1935.23,36700,285,7897.77,358.2
2609,58.44444444,90197,0.1,2484.32,67588,107,6781.04,811.4
1212,58.5,103184,0.1,5666.64,61814,173,6553.06,421.6
3021,58.64705882,402240,0.2,2610.13,189992,233,6458.0,1273.3
3027,58.66666667,91954,0.2,8243.91,92978,88,5751.05,546.3
2606,58.875,59507,0.0,8020.02,91091,54,5804.43,739.3
1864,59,33893,0.7,339.0,8540,517,6266.91,98.9
2404,59,136884,0.0,11090.45,152184,87,6483.73,936.2
1016,59.09090909,111082,0.1,5531.49,102461,109,6341.69,603.8
3020,59.16666667,73140,0.1,2276.52,71321,86,6214.03,405.6
2812,59.2,46155,0.0,3155.88,69373,61,5242.25,359.6
1015,59.22222222,46912,0.0,4854.43,75338,50,6092.92,420.3
2405,59.25,94675,0.2,920.52,66474,170,6931.46,462.2
1012,59.64285714,112619,0.0,12932.05,144319,75,6032.02,751.3
1605,59.8,57563,0.3,565.45,44187,136,7254.86,260.9
1603,60,76641,0.2,476.19,62513,139,7528.75,351.1
1661,60,133882,1.5,90.59,14903,849,7516.59,246.8
2062,60,42531,1.2,31.58,3267,1840,6702.05,82.4
2416,60,101895,0.1,15074.05,100366,112,6855.49,678.5
3007,60,101291,0.1,6023.51,116006,71,5987.02,945.2
2604,60.05263158,208349,0.0,17720.83,224597,94,5989.91,1054.4
1209,60.11111111,123541,0.0,17277.36,67298,192,6224.14,493.1
1003,60.2,57496,0.0,6310.97,61830,79,5879.09,328.4
1408,60.4,123849,0.1,2744.71,39079,333,6827.81,330.2
0661,61,53068,0.7,412.0,4940,1109,6400.24,114.4
2607,61,78497,0.1,4838.59,61671,164,6179.43,458.3
0262,62,72613,3.9,78.66,5629,1653,6901.05,150.3
0663,62,277301,2.1,343.99,14746,2246,7443.57,361.7
2409,62,77687,0.0,5521.61,47930,142,6303.39,416.0
2402,62.1,143588,0.1,2925.13,45806,362,6612.98,863.1
1021,62.4,37215,0.0,1217.43,35855,84,6050.65,255.2
1421,62.66666667,189487,0.5,796.81,24637,723,8411.30,545.4
0464,63,78781,0.6,275.82,8509,1200,6687.25,98.7
1462,63,110065,2.0,360.28,8804,1278,9151.56,165.1
1463,63,158545,1.4,498.0,11180,1770,7041.60,205.1
1008,63.42857143,107678,0.2,2684.37,49221,242,6349.64,432.4
2411,63.75,80495,0.2,607.79,54373,184,7283.63,402.6
0264,64,640100,4.2,1041.57,29281,2302,8334.84,919.1
1434,64,223936,0.1,14032.20,95367,287,6910.12,831.5
1464,64,66808,1.2,40.75,3186,2374,7024.63,118.5
3062,64,60416,2.3,105.25,8230,828,6634.81,119.9
1262,65,74598,0.6,551.92,5760,1399,6253.50,178.2
1863,65,167846,1.8,198.0,12901,1528,7428.94,158.2
2468,66,67848,1.6,860.0,15241,574,8417.97,214.2
2417,66,122327,0.1,19218.12,104004,144,6593.79,666.6
2410,66.16666667,95701,0.5,550.71,47142,235,6607.42,449.4
1203,66.2,101882,0.5,1619.92,36982,324,6898.73,486.6
1019,67,64216,0.2,2262.82,36919,173,6087.95,292.1
1061,67,523613,3.7,2441.01,29325,2245,7548.10,367.0
2461,67,159006,1.0,887.24,12445,1340,7231.58,358.0
2465,67,96019,1.8,1097.0,18873,608,8029.95,258.7
3063,67,54006,1.1,71.0,3186,1903,6736.54,104.0
1218,67.5,140094,0.1,7889.21,64594,244,6048.26,856.5
1219,68.2,126533,0.2,1223.45,41059,346,7019.50,635.5
1215,68.55555556,73048,0.0,18890.13,68564,121,6182.10,639.6
1062,69,59327,0.9,49.03,6724,1000,6168.36,151.0
1063,69,37560,2.3,139.0,3460,1317,6503.98,103.6
2466,69,158274,1.3,260.61,13388,1277,8391.75,217.0
1206,69.52941176,285303,0.1,3312.43,123056,244,7252.41,1491.4
2401,69.625,122618,0.8,3033.78,36430,399,6502.13,382.2
1263,70,77706,1.5,151.0,7237,1437,7650.54,216.8
2408,70,83721,0.4,276.46,23284,428,6733.88,324.9
2477,70,112959,3.2,113.75,8181,1505,7163.78,164.8
3064,70,552552,1.8,2833.29,26191,2067,8303.38,614.0
1213,70.77777778,123393,0.4,1105.0,40621,368,6512.03,507.4
1465,72,1874318,2.7,3419.20,51720,3600,9625.74,1589.9
2464,72,178768,1.5,209.0,15972,1304,6715.44,346.7
2470,72,54277,1.6,24.0,6567,1091,6438.78,117.9
2414,73,49702,0.5,352.06,15814,377,6356.50,261.5
2661,73,155117,1.0,449.06,10965,1677,7062.45,176.1
1261,75,701899,4.1,1316.83,32685,2458,9223.73,737.3
2475,75,141179,2.0,442.90,9116,2075,6973.22,220.3
2467,76,62695,0.8,317.0,8534,974,0.0,186.6
3061,76,99110,1.4,197.22,6938,1354,6617.76,165.2
2479,78,47559,2.3,207.50,6464,956,6560.84,110.2
2469,79,297741,1.8,126.70,16473,1701,9105.52,288.9
2471,80,36839,0.8,4.34,3986,1308,7654.72,83.8
2462,81,101445,3.2,2449.65,6948,2153,7206.77,115.8
2472,81,90694,1.6,43.99,7764,1694,6668.08,165.8
2478,81,114291,2.7,174.44,8042,1933,7438.82,232.1
2412,83.8,64076,0.1,777.17,22362,344,6596.65,305.2
2473,86,108274,0.6,316.18,14828,888,6938.12,298.7
2474,86,43365,6.3,2449.65,2551,2505,6887.29,56.2
2415,87.11111111,121255,0.5,908.50,28681,527,6189.57,517.1
2476,94,31827,2.9,2449.65,1330,3443,6361.63,45.4
2463,95,63692,4.5,2449.65,3332,3059,6555.69,81.3
